Acapulco de Juárez,Date,Tijuana,Mexicali,Ensenada,La Paz,Los Cabos,Campeche,Ciudad del Carmen,Torreón,Saltillo,Piedras Negras,Monclova,Acuña,Ramos Arizpe,Colima,Manzanillo,Villa de Álvarez,Tuxtla Gutiérrez,Tapachula,San Cristóbal de las Casas,Chihuahua,Juárez (Chihuahua),Delicias,Cuauhtémoc (Chihuahua),Nuevo Casas Grandes,Azcapotzalco,Coyoacán,Cuajimalpa de Morelos,Gustavo A. Madero,Iztacalco,Iztapalapa,La Magdalena Contreras,Álvaro Obregón (CDMX),Tláhuac,Tlalpan,Xochimilco,Benito Juárez (CDMX),Cuauhtémoc (CDMX),Miguel Hidalgo,Venustiano Carranza (CDMX),Durango,Gómez Palacio (Durango),León,Irapuato,Celaya,Guanajuato,Salamanca,San Miguel de Allende,Chilpancingo de los Bravo,Pachuca de Soto,Tulancingo de Bravo,Guadalajara,Puerto Vallarta,Lagos de Moreno,Tlaquepaque,Zapopan,Toluca,Texcoco,Cuautitlán,Atizapán de Zaragoza,Coacalco de Berriozábal,Cuautitlán Izcalli,Chalco,Ecatepec de Morelos,Ixtapaluca,Metepec (Edomex),Huixquilucan,Naucalpan de Juárez,Tultitlán,Nezahualcóyotl,Los Reyes La Paz,Tlalnepantla de Baz,Tecámac,Lerma,Morelia,Uruapan,Lázaro Cárdenas (Michoacán),Cuernavaca,Tepic,Bahía de Banderas,Monterrey,San Pedro Garza García,Guadalupe (NL),San Nicolás de los Garza,Gral. Escobedo,Santa Catarina (NL),Apodaca,Oaxaca de Juárez,Puebla,Tehuacán,San Andrés Cholula,Querétaro,San Juan del Río (querétaro),Corregidora,Othón P. Blanco,Benito Juárez (quintana roo),Solidaridad,San Luis Potosí,Ciudad Valles,Soledad de Graciano Sánchez,Culiacán,Mazatlán,Ahome,Guasave,Salvador Alvarado,Hermosillo,Cajeme,Nogales (sonora),Guaymas,San Luis Río Colorado,Navojoa,Centro,Nuevo Laredo,Tampico,Reynosa,Matamoros (tamaulipas),Victoria (tamaulipas),Ciudad Madero,Altamira,Apizaco,Tlaxcala,Veracruz,Xalapa,Coatzacoalcos,Boca del Río,Mérida,Zacatecas,Fresnillo,Guadalupe (Zacatecas)
439470,2011-04-01 00:00:00,1015274,841030,391604,290722,538139,81624,154226,825532,633146,85967,197559,49293,28887,161097,138193,57305,292138,76219,48581,1346270,942007,125274,118494,69245,551977,1259195,779980,665163,204064,584044,117560,1485045,27088,954780,94013,2548439,3849052,2701724,468726,335843,208653,989816,238333,275163,100268,73656,79997,61985,320368,69666,1466798,418583,44271,177343,1410287,526859,89237,76598,259061,160793,393476,59321,410880,97558,354250,347634,1118113,121256,244416,32717,660720,61827,242223,594787,143248,60951,686169,200210,150908,2095199,914067,404793,395577,133862,116921,215804,224325,1376728,50998,142706,1188214,99889,194923,79035,1286322,456394,706961,73952,49769,694131,327220,280575,84725,61604,1082149,411311,177398,133962,94705,117957,450330,184076,465711,346537,200724,244055,138051,47059,55523,43701,328584,361765,179680,298787,804268,103490,38786,52784
411317,2011-05-01 00:00:00,1239107,974104,438863,376113,575380,91734,175460,933421,731530,112216,235144,68297,43172,174543,137058,62108,316089,84610,47306,1716966,1113042,141326,143817,70262,626320,1670471,909950,1796215,312278,876460,141895,1885301,29233,1051666,155299,3028853,4843902,2808792,514643,386332,223838,1072174,262088,320584,100129,79605,77928,65302,377877,96804,1693283,421149,37017,190233,1899603,599288,92705,79486,325480,181584,440553,66762,553877,135801,419625,424437,1346030,155433,330618,48500,794477,78663,258719,659291,150711,70261,719847,220872,218657,2670627,1619345,349727,458966,150454,131609,222930,228310,1649792,58537,141515,1319788,103508,198782,188021,1363838,557681,816758,79141,54200,784611,381032,301695,93441,65477,1214473,458809,190814,150140,110903,127534,546413,200440,531362,396499,223779,259887,163518,55328,61530,50289,341287,389623,208101,358177,886519,107968,41939,55484
375101,2011-06-01 00:00:00,1200103,949425,423926,364554,539562,84131,175137,884642,707161,111129,217772,64127,44458,165145,133806,60406,305882,80292,44205,1685764,1072532,145563,130145,55114,623757,1691631,915650,1902807,285303,819597,140779,1880354,26925,1022004,146031,2977999,4394024,3555399,500881,389796,214885,1030956,251258,312642,102770,78148,75473,63540,408963,86863,1638926,392946,35843,182610,1884859,571475,95774,83234,329613,178342,416607,66614,531204,134323,385766,409534,1289017,157596,334110,47515,774756,72614,265079,652300,150605,69739,698057,217006,196345,2743159,1637068,335265,437750,142113,129487,215318,221628,1659414,58143,136088,1244484,103906,205736,185071,1332404,532575,760473,75418,55188,736128,365706,293689,87794,64103,1149960,440188,181908,152074,105258,122074,545359,196398,500910,387522,223562,247951,159595,52598,57993,51956,329791,378310,194557,343286,848640,103299,39697,57457
416318,2011-07-01 00:00:00,1142975,951503,462863,314585,548698,94517,177652,882503,719837,111297,212318,67155,48249,173469,141585,62989,335140,87788,54275,1433757,1048320,142091,137517,56666,533259,1407480,842123,768836,244989,670795,139043,1714851,28033,1056906,116268,2835189,4483314,3075641,504793,389934,221842,1084193,263140,308543,107752,79027,88659,83465,346710,74395,1612709,404412,38716,193859,1553552,607987,101705,86544,297731,184137,447319,69526,474139,103715,394334,407845,1201006,134099,279085,38673,746374,75663,245071,642447,143420,65200,729640,221699,144173,2212754,977596,346765,452757,141564,137336,216451,241918,1506158,64104,137486,1309560,107356,207735,84785,1390175,468438,787609,78832,56252,751374,351863,299135,96156,65719,1194486,458969,184023,165887,108158,125158,534857,203267,493019,394831,225884,254234,152680,53172,60453,55803,338792,402642,207734,315307,899933,113629,42901,60577
428905,2011-08-01 00:00:00,1256928,1027613,496120,332952,537693,100099,182621,898999,723469,113112,216204,68572,47406,176383,140845,59965,348137,92066,53674,1510413,1114422,146051,143742,60302,559555,1448610,754260,792153,251885,703001,145546,1804291,31026,1085986,107819,2910089,4534659,3166571,534172,404574,227414,1120192,273794,315912,114766,81457,88325,70726,372035,74262,1752398,387764,41386,198505,1620356,617930,100245,85680,317649,178332,456768,73737,497239,107798,396498,424951,1251692,137566,284666,40076,761668,73323,261490,670396,152441,72170,735928,236060,143269,2400470,978247,352289,499450,150384,143802,230571,249795,1568288,71481,152497,1362983,110883,199533,169838,1340790,436161,827950,82729,43284,818655,355201,320185,105097,58834,1308940,490121,202526,180284,120023,135085,557091,213189,529392,428033,237702,271666,168055,60311,65322,56790,352790,410032,218224,324414,931138,118381,43338,62325
380101,2011-09-01 00:00:00,1210592,1021082,478094,315400,506947,93010,173056,846435,668877,101596,201845,63729,41757,167393,123731,55557,329292,87237,50062,1497143,1087872,144481,141337,58635,582165,1401645,722719,740650,246109,665757,134100,1869664,28812,1038120,105246,2837959,5327212,2993821,518329,393980,217124,1029722,263995,299815,105310,73019,89235,68297,359800,70372,1571967,353239,38152,187074,1452288,587147,97742,82299,315664,174630,446623,71000,474705,105346,384934,392407,1197313,132106,275054,40130,693430,70006,243301,636199,146781,68174,701743,235417,131778,2264340,919774,338784,539399,149364,137627,194880,236888,1508680,65373,148040,1260614,106171,194318,142003,1219166,381498,784864,78858,42913,798017,312862,311269,100512,55201,1271965,477759,197219,175808,114955,131420,528325,195590,497090,393184,219215,248221,158396,55316,65744,53018,318174,394448,208134,306771,887292,112046,39006,59037
395887,2011-10-01 00:00:00,1259554,1065622,487397,325029,542163,94580,179111,867751,702720,104451,209246,64922,46564,168090,120437,56507,339636,89587,51531,1560555,1120104,149313,148462,61803,595228,1469923,786051,798369,249385,701882,153674,1955450,29505,1077327,114331,3068905,4672530,3294357,570823,406708,223439,1115122,272853,309373,109692,81100,87284,70529,380046,77567,1680818,366960,40656,195120,1586802,642246,100229,82560,341233,178388,462001,74782,497141,108730,403423,449782,1252683,136211,282003,41755,743708,71616,239298,657371,157855,70014,730294,240190,130680,2368619,995768,362009,567419,154591,156329,203465,245086,1541629,69614,167356,1371870,110389,208421,144462,1224341,377373,816285,81119,44967,824789,325268,320319,103436,58030,1328995,493698,203626,187440,117494,137753,548072,203077,515376,407617,229062,261121,162328,56638,68712,57590,328011,403202,216566,319324,920430,114145,40482,60860
431506,2011-11-01 00:00:00,1291997,1081137,493373,349821,544622,100607,178586,887470,695496,105253,200869,63081,45466,178887,127540,61035,346798,97045,52199,1598753,1123647,148716,148490,62116,626605,1522088,803055,841069,262840,747684,159524,1967005,30326,1143410,113272,3112229,4930750,3287885,572274,422876,221742,1169360,278157,319868,111651,85743,91546,74381,400933,80075,1817377,393509,39102,204161,1700159,655833,103219,84776,341215,190364,466352,71519,503956,115815,419644,471756,1288976,133839,292568,40896,773627,79513,246107,668976,149862,72053,680442,241402,136479,2413133,1013554,361681,567446,168449,145158,265915,265337,1586722,63486,164296,1407252,109354,223491,180710,1247637,409375,843618,81547,44816,807089,333155,324948,103710,63558,1321277,487324,205397,181378,118777,140834,582171,200259,508430,406868,232912,251430,162736,57334,67018,59493,334480,421182,229527,314242,991698,114832,39736,61086
589522,2011-12-01 00:00:00,1431335,1239055,556732,424793,564135,132628,225224,1038872,811238,118030,239882,72594,50260,207050,146595,66522,438523,127999,69734,1784139,1285259,173188,168997,73618,675843,1749693,859604,997349,293842,876746,192879,2163274,32020,1310640,124591,3505775,5437006,3622060,618901,489062,261837,1348716,320464,375158,119849,100408,100891,94410,476296,96157,2073710,458952,47653,226238,1920100,723001,119805,109911,392839,241641,587969,81698,622447,133279,508042,555828,1515555,152922,351523,49155,887490,99041,323934,778369,178484,85383,832812,305322,144797,2712623,1120674,406131,670677,205090,163676,285844,321962,1842327,78715,171634,1570546,121297,248547,141712,1492095,515700,1016460,101180,49440,999155,412224,397986,128371,73506,1549659,568313,223854,195919,133303,178961,750135,224837,623961,458443,263157,302404,180998,66379,81772,64488,397054,527278,283350,378273,1204775,139350,48091,67597
495974,2012-01-01 00:00:00,1358963,1157794,491663,351674,582121,104092,188109,928416,737170,113098,220014,65673,46125,183229,134767,61525,367578,104542,56719,1655603,1186294,156664,162233,65875,586781,1568585,774363,878103,264420,776009,177267,1985105,31266,1171747,122088,3285591,5193446,3395905,550106,441943,234312,1129851,293418,340761,123199,90356,98198,83887,432111,94254,1819847,444984,42494,206319,1668634,654734,107313,95173,354273,211754,477003,73483,542465,113491,432088,474530,1284633,142435,304340,43597,770752,89585,226126,730084,161058,78490,730083,253549,153266,2440269,1027646,366535,576131,157758,147230,260339,274399,1684028,71934,174830,1443385,117426,241645,121052,1505073,537816,874398,83976,47176,869991,369503,345861,109858,67882,1430777,518477,216961,195013,125143,153589,641397,220562,529450,431257,254475,283005,176654,64760,74735,62411,353528,443587,234493,330059,990536,113758,41573,65418
